Start,Finish,Distance (km),Steps (count)
07-Aug-2017 00:00,08-Aug-2017 00:00,3.77503000000399,6241.0
08-Aug-2017 00:00,09-Aug-2017 00:00,0.846830000001704,1584.0
09-Aug-2017 00:00,10-Aug-2017 00:00,0.807010000001639,1505.0
10-Aug-2017 00:00,11-Aug-2017 00:00,10.3388713643989,17111.0
11-Aug-2017 00:00,12-Aug-2017 00:00,11.2876388035472,17596.0
12-Aug-2017 00:00,13-Aug-2017 00:00,0.909890000005485,1699.0
13-Aug-2017 00:00,14-Aug-2017 00:00,1.3622200000023,2559.0
14-Aug-2017 00:00,15-Aug-2017 00:00,4.32596480955137,8113.0
15-Aug-2017 00:00,16-Aug-2017 00:00,13.7263559159169,21179.0
16-Aug-2017 00:00,17-Aug-2017 00:00,5.49216988521768,10236.0
17-Aug-2017 00:00,18-Aug-2017 00:00,7.71297003485379,13731.0
18-Aug-2017 00:00,19-Aug-2017 00:00,4.90668995808018,8072.0
19-Aug-2017 00:00,20-Aug-2017 00:00,0.0,0.0
20-Aug-2017 00:00,21-Aug-2017 00:00,2.12583955479832,4062.0
21-Aug-2017 00:00,22-Aug-2017 00:00,3.45535396294063,5952.0
22-Aug-2017 00:00,23-Aug-2017 00:00,4.25664999999991,7561.0
23-Aug-2017 00:00,24-Aug-2017 00:00,4.74713830157649,8411.0
24-Aug-2017 00:00,25-Aug-2017 00:00,5.09581078676297,9375.0
25-Aug-2017 00:00,26-Aug-2017 00:00,5.50078000000026,9634.0
26-Aug-2017 00:00,27-Aug-2017 00:00,1.45084000000078,2727.0
27-Aug-2017 00:00,28-Aug-2017 00:00,0.793610000003129,1451.0
28-Aug-2017 00:00,29-Aug-2017 00:00,4.37363000000222,7998.0
29-Aug-2017 00:00,30-Aug-2017 00:00,6.59816000001249,12343.0
30-Aug-2017 00:00,31-Aug-2017 00:00,5.1254699999888,9847.0
31-Aug-2017 00:00,01-Sep-2017 00:00,5.52979999999982,10379.0
01-Sep-2017 00:00,02-Sep-2017 00:00,5.35454000000819,9963.0
02-Sep-2017 00:00,03-Sep-2017 00:00,4.64401965572895,7127.0
03-Sep-2017 00:00,04-Sep-2017 00:00,0.705720000000671,1233.0
04-Sep-2017 00:00,05-Sep-2017 00:00,7.52868999999692,12124.0
