In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods
19-Jul-2017 00:55,19-Jul-2017 06:00,305.133333333333,0.0,0.0,0
20-Jul-2017 00:14,20-Jul-2017 06:09,355.368301900228,0.0,0.0,0
20-Jul-2017 23:00,21-Jul-2017 06:00,420.533333333333,0.0,0.0,0
21-Jul-2017 06:00,21-Jul-2017 06:18,17.9059914837281,0.0,0.0,0
22-Jul-2017 00:17,22-Jul-2017 06:09,352.333333333333,0.0,0.0,0
23-Jul-2017 06:01,23-Jul-2017 07:04,62.8756394465764,0.0,0.0,0
23-Jul-2017 23:00,24-Jul-2017 06:00,420.191678483287,0.0,0.0,0
24-Jul-2017 23:59,25-Jul-2017 06:36,397.333333333333,0.0,0.0,0
25-Jul-2017 06:36,25-Jul-2017 06:45,8.99649839997292,0.0,0.0,0
26-Jul-2017 00:54,26-Jul-2017 06:45,351.607802016536,0.0,0.0,0
26-Jul-2017 23:42,27-Jul-2017 06:45,422.8,0.0,0.0,0
27-Jul-2017 06:45,27-Jul-2017 06:45,0.366197016835213,0.0,0.0,0
27-Jul-2017 23:26,28-Jul-2017 06:54,448.692661583424,0.0,0.0,0
28-Jul-2017 23:00,29-Jul-2017 01:24,144.666666666667,0.0,0.0,0
29-Jul-2017 01:24,29-Jul-2017 06:00,275.523862166206,0.0,0.0,0
29-Jul-2017 23:54,30-Jul-2017 00:41,47.4666666666667,0.0,0.0,0
30-Jul-2017 00:42,30-Jul-2017 00:49,7.2,0.0,0.0,0
30-Jul-2017 00:49,30-Jul-2017 00:49,0.0666666666666667,0.0,0.0,0
30-Jul-2017 00:49,30-Jul-2017 02:06,77.0666666666667,0.0,0.0,0
30-Jul-2017 02:08,30-Jul-2017 02:09,1.0,0.0,0.0,0
30-Jul-2017 02:09,30-Jul-2017 06:00,230.938774033387,0.0,0.0,0
30-Jul-2017 23:00,31-Jul-2017 06:00,420.502777049939,0.0,0.0,0
01-Aug-2017 00:25,01-Aug-2017 00:32,7.33333333333333,0.0,0.0,0
01-Aug-2017 00:32,01-Aug-2017 00:37,5.13333333333333,0.0,0.0,0
01-Aug-2017 00:38,01-Aug-2017 06:00,322.338604467114,0.0,0.0,0
02-Aug-2017 01:39,02-Aug-2017 06:00,260.878419616818,0.0,0.0,0
02-Aug-2017 23:21,03-Aug-2017 00:31,69.4666666666667,0.0,0.0,0
03-Aug-2017 00:34,03-Aug-2017 06:00,326.113022299608,0.0,0.0,0
03-Aug-2017 23:00,04-Aug-2017 06:00,420.208535950383,0.0,0.0,0
05-Aug-2017 00:00,05-Aug-2017 06:00,359.64467929999,0.0,0.0,0
05-Aug-2017 23:01,06-Aug-2017 06:00,418.938864966234,0.0,0.0,0
06-Aug-2017 23:00,07-Aug-2017 06:18,438.414652599891,0.0,0.0,0
07-Aug-2017 23:00,08-Aug-2017 06:00,420.351290133595,0.0,0.0,0
08-Aug-2017 23:00,09-Aug-2017 06:00,420.173291083177,0.0,0.0,0
09-Aug-2017 23:02,10-Aug-2017 06:09,426.750382150213,0.0,0.0,0
10-Aug-2017 23:00,11-Aug-2017 06:00,420.249538033207,0.0,0.0,0
11-Aug-2017 23:00,12-Aug-2017 06:00,420.256625183423,0.0,0.0,0
12-Aug-2017 23:00,13-Aug-2017 01:33,153.0,0.0,0.0,0
13-Aug-2017 01:33,13-Aug-2017 06:00,266.632210066915,0.0,0.0,0
13-Aug-2017 23:00,14-Aug-2017 06:00,420.135091933608,0.0,0.0,0
14-Aug-2017 23:00,15-Aug-2017 06:00,420.164854150017,0.0,0.0,0
15-Aug-2017 23:13,16-Aug-2017 06:00,407.42609744966,0.0,0.0,0
16-Aug-2017 23:00,17-Aug-2017 06:00,420.2,0.0,0.0,0
17-Aug-2017 06:00,17-Aug-2017 06:09,8.94998794992765,0.0,0.0,0
17-Aug-2017 23:00,18-Aug-2017 06:00,420.145066783826,0.0,0.0,0
18-Aug-2017 23:00,19-Aug-2017 06:00,420.247433500489,0.0,0.0,0
19-Aug-2017 23:00,20-Aug-2017 06:18,438.354612867037,0.0,0.0,0
20-Aug-2017 23:28,21-Aug-2017 06:27,418.949606816967,0.0,0.0,0
21-Aug-2017 23:00,22-Aug-2017 06:09,429.368191949526,0.0,0.0,0
22-Aug-2017 23:00,23-Aug-2017 06:00,420.177586600184,0.0,0.0,0
23-Aug-2017 23:00,24-Aug-2017 06:00,420.270282066862,0.0,0.0,0
24-Aug-2017 23:00,25-Aug-2017 06:00,420.198881816864,0.0,0.0,0
25-Aug-2017 23:47,26-Aug-2017 06:00,372.547766616941,0.0,0.0,0
26-Aug-2017 23:00,27-Aug-2017 06:00,420.154772982995,0.0,0.0,0
27-Aug-2017 23:00,28-Aug-2017 06:00,420.333333333333,0.0,0.0,0
28-Aug-2017 06:00,28-Aug-2017 06:09,8.4148631165425,0.0,0.0,0
28-Aug-2017 23:02,29-Aug-2017 06:00,417.636908016602,0.0,0.0,0
29-Aug-2017 23:33,30-Aug-2017 06:00,386.191788499554,0.0,0.0,0
30-Aug-2017 23:00,31-Aug-2017 06:00,420.144239316384,0.0,0.0,0
31-Aug-2017 23:00,01-Sep-2017 06:00,420.329330083728,0.0,0.0,0
01-Sep-2017 23:10,02-Sep-2017 06:00,409.980616633097,0.0,0.0,0
03-Sep-2017 00:03,03-Sep-2017 06:00,356.977024333676,0.0,0.0,0
